n,key,url,model_category,model_spec_areas,model_confidence,model_rationale,your_label,notes,summary,description,issuetype,components,labels,links
1,CSHARP-4084,https://jira.mongodb.org/browse/CSHARP-4084,cross_driver_inconsistency,,low,mentions other driver,test_infrastructure,,Update initial DNS seedlist discovery tests to support dedicated load balancer port,"This ticket was split from {{DRIVERS-2224}}, please see that ticket for a detailed description. ",Bug,,,Issue split:DRIVERS-2224
2,SCALA-444,https://jira.mongodb.org/browse/SCALA-444,not_relevant,,low,Insufficient detail to classify,test_infrastructure,,Resync read write concern tests to add new read concern levels,See DRIVERS-567 for details.,Improvement,,,Depends:SPEC-1152|Depends:DRIVERS-567
3,NODE-5514,https://jira.mongodb.org/browse/NODE-5514,not_relevant,,medium,Insufficient signal,not_relevant,,refactor FLE internals to use async-await,"h3. Use Case
As a driver engineer,
I want our FLE logic to use async-await,
So that it is easier to debug, it is easier to maintain and we can ensure we catch errors thrown.

h3. User Impact
n/a - should be internal refactor.

h3. Dependencies
n/a

h3. Unknowns
n/a

h3. Acceptance Criteria

h4. Implementation Requirements
 - Remove callbacks from `MongocryptdManager`, `StateMachine` and `AutoEncrypter` and refactor the methods to be async-await.
 -- Adjust any places in the driver that consume these APIs.
 - Make `Encrypter.close` async.
 - Update all tests in FLE and the driver to use async/await or promises where they were using callbacks.
 - Update the StateMachine's parsing of TLS options to be async
 -- [https://github.com/mongodb/node-mongodb-native/blob/71c593685735a08d5d7503120464a7c23ba20a46/src/client-side-encryption/stateMachine.js#L386]
 - Remove `common.js` now that maybePromise and promiseOrCallback are unused

h4. Testing Requirements
* Our unit tests for MongocryptdManager, StateMachine and AutoEncrypter mock the internal APIs we are modifying.  We'll need to update the unit tests to stub async functions instead of stubbing callback functions.

h4. Documentation Requirements
* n/a

h4. Follow Up Requirements
* n/a",Improvement,,node-internal,
4,JAVA-4646,https://jira.mongodb.org/browse/JAVA-4646,not_relevant,,high,"Virtual thread interrupt handling, internal concern.",spec_ambiguity_or_gap,,Deal with consequence of interrupted socket operation throwing SocketException,"When a socket operation is interrupted (say by a call to {{StructuredTaskScope#joinUntil}} that times out, tests show that {{SocketInputStream#read}} throws a {{SocketException}} with the message {{""Closed by interrupt""}} .  The driver will treat that exception according to the rules defined by the SDAM and CMAP specifications, as a network error.  But it should be treated more like {{InterruptedException}}.",Improvement,Internal,loom,
5,NODE-1890,https://jira.mongodb.org/browse/NODE-1890,driver_spec_nonconformance,,low,"Improvement ticket, unclear spec impact.",test_infrastructure,,Do not run sharding transaction tests for mongodb < 4.1.5,"Currently the transactions tests will attempt to run against a 4.0.x {{mongos}}, which causes the sharded tests to fail across the board.",Improvement,Native,,
6,MGO-19,https://jira.mongodb.org/browse/MGO-19,driver_spec_nonconformance,crud,medium,Bug in spec area: crud.,driver_spec_nonconformance,,Change nUpdated to nMatched in bulk api results,,Improvement,,,Related:DRIVERS-140
7,GODRIVER-3481,https://jira.mongodb.org/browse/GODRIVER-3481,not_relevant,,low,insufficient signal,test_infrastructure,,Improve JSON tests for Binary Vector Subtype,"This ticket was split from {{DRIVERS-3097}}, please see that ticket for a detailed description. ",Improvement,BSON,,Issue split:DRIVERS-3097
8,CDRIVER-1082,https://jira.mongodb.org/browse/CDRIVER-1082,avoidable_by_spec_conformance,crud,high,Bulk operation splitting ignores write command overhead; BSON size limit.,driver_spec_nonconformance,,Proper bulk operation splitting at the margin,"The driver sends a write command to the server if the ""documents"", ""updates"", or ""deletes"" array alone is at most 16MB plus 16K; it should also take into account the additional overhead of the write command (writeConcern, readPreference, etc.) and split the batch if the total command document exceeds 16MB plus 16K.",Bug,,,Related:CS-27707
9,JAVA-4523,https://jira.mongodb.org/browse/JAVA-4523,avoidable_by_spec_conformance,,high,Buffer leak with compression; resource management bug.,not_relevant,,Buffer is leaked from buffer pool on socket exception,"In {{SocketStream#read}}, the {{ByteBuf}} is not released if an exception is thrown.  As a result the buffer will be GC'd but will not be returned to the buffer pool.  This is a performance issue, but also a correctness issue, as it will result in a permit never being released.  Eventually, an application could run out of permits (although currently there are {{Integer#MAX_VALUE}} permits available so it's unlikely.",Bug,Internal,,
10,CSHARP-2219,https://jira.mongodb.org/browse/CSHARP-2219,not_relevant,,medium,matches ci keyword,driver_spec_nonconformance,,ClusterClockAdvancingCoreSession should return the greater of the two ClusterTimes,"As part of gossiping the cluster time the driver appends a {{*$clusterTime*}} element to the command sent to the server.

The code in {{*CommandUsingCommandMessageWireProtocol*}} looks like this:

{code}
var clusterTimeElement = new BsonElement(""$clusterTime"", _session.ClusterTime);
extraElements.Add(clusterTimeElement);
{code}

The driver is supposed to send the greater of the session's {{*ClusterTime*}} and the cluster's {{*ClusterTime*}}. The line of code as written above assumes that the {{*_session*}} value is an instance of {{*ClusterClockAdvancingClusterTime*}} and that {{*ClusterClockAdvancingClusterTime*}} will be the one to compare the two {{*ClusterTimes*}} and return the greater of the two.

The current implementation of {{*ClusterClockAdvancingClusterTime*}} neglected to do that.

{{*ClusterClockAdvancingClusterTime*}} needs to override the {{*ClusterTime*}} property to return the greater of the two {{*ClusterTimes*}}.

",Bug,Connectivity,,
11,RUBY-2854,https://jira.mongodb.org/browse/RUBY-2854,driver_spec_nonconformance,sessions,medium,Session from find not passed to count_documents; inconsistent with session handling spec.,spec_ambiguity_or_gap,,Consider passing find (collection view) session to count_documents,"Original report:

 when you do:

{{collection.find({}, session: x).count_documents}}

it doesn't use the {{session}} that is stored in the {{options}} of the {{View}} that {{find}} returns

 

Sorry if I didn't specify clearly enough. In an attempt to clarify more, I monkeypatched the method like so:

opts = opts.select\{ |k, _| [:hint, :max_time_ms, :read, :collation, :session].include?(k) }
opts[:collation] ||= collation
opts[:session] ||= options[:session]

This then allows you to override the {{session}} when calling count_documents but by default it will use the one already specified on the {{View}}

 ----------------------


There is precedent for some find options not being applicable to subsequent methods, for example limit given to find does not apply to updates (which could update either a single document or all matching documents, but not an arbitrary number of them).

As part of this ticket at least all of the view methods should be reviewed for behaving consistently with respect to either using or not using the session option given to find.

Additionally, reference documentation needs to be reviewed and likely updated to state that find session will carry over to other operations.",Improvement,,,Cloners:RUBY-2843|Related:RUBY-2706
12,PHPC-756,https://jira.mongodb.org/browse/PHPC-756,cross_driver_inconsistency,bson,medium,mentions or links to another driver,not_relevant,,fromJSON() should not evaluate bson_error_t.message as boolean,"In {{bson.c}}, {{fromJson}} calls {{phongo_throw_exception}} with either a custom error message, or a generic ""Error parsing JSON"" message.

To determine whether or not to use a custom error message (bubbled up from mongoc) it checks whether a {{bson_error_t}}'s {{message}} field is NULL. Since the {{message}} field is just an array, it is never NULL. This produces a warning on some compilers.

To check if the {{bson_error_t}} has an error message, {{error.code}} or {{error.domain}} should be checked instead.",Bug,,,Related:HHVM-273
13,MOTOR-154,https://jira.mongodb.org/browse/MOTOR-154,cross_driver_inconsistency,collation,medium,Bug in collation component if found.,not_relevant,,"AgnosticCursor fails with ""collation"" method","Hi,
In my app I'm using motor+tornado. I've tried to execute query with collation()

{code:python}
db[""test_collection""].find({}).sort(""field"").collation(Collation(""pl"")).to_list(length=1)
{code}

Unfortunately, `core.AgnosticCursor` has `collation` defined as `ReadOnlyProperty()` not `MotorCursorChainingMethod()` and the code fails with error

{code}
AttributeError: 'Cursor' object has no attribute 'to_list'
{code}

",Bug,,,
14,CSHARP-3200,https://jira.mongodb.org/browse/CSHARP-3200,driver_spec_nonconformance,,medium,Spec nonconformance in crud.,not_relevant,,Release on Evergreen,"
    See DRIVERS-1383 for updated details.
    ",Improvement,Build,,Depends:DRIVERS-1383|Depends:CSHARP-3471|Related:CSHARP-2933|Related:CSHARP-4154
15,NODE-1761,https://jira.mongodb.org/browse/NODE-1761,avoidable_by_spec_conformance,cmap,high,Mongos topology leaks pools on reconnect; CMAP cleanup issue.,not_relevant,,Mongos topology leaks memory on server reconnect,"From the ticket:

{quote}

I have been battling some weird memory leaks in our apps, and have found out that the culprit seems to be the mongodb driver which doesn't handle the Pool teardown properly when running against Mongos proxies (and maybe Replicasets as well).

This is very easily reproducible by just connecting to a set of mongos proxies (2 in my case). At app start, a heapdump shows that there are two Pool instances when everything works. If I shut down network on the machine running the driver, after 30 seconds it will start eating memory like crazy and have thousands of Pool instances in the heap. This will go on indefinitely while you have a network outage, and even when you regain network connectivity, all of these instances remains and the app uses several hundred MB of RAM.

This was the snippet I used for testing:

 

{{// Simplest mongoDB connection app
const MongoClient = require('mongodb').MongoClient;

function heapDump() \{
    const mem = process.memoryUsage();
    console.log('%s, Memory usage: %f', new Date().toISOString(), mem.rss);
}

async function start() \{

	const client = await MongoClient.connect('mongodb://user:password@mongos1,mongos2/admin', {
		useNewUrlParser: true,
		ssl: true,
		haInterval: 10,
		bufferMaxEntries: 0,
	});
	const db = client.db(); 
}

start()
 .catch(err => console.error(err));
setInterval(heapDump, 1000);}}

The haInterval speeds things up, by default it increases with 2 Pools every 5 seconds, with this config it increases every 10 ms, making it more evident. The leak is still there.

Not sure why it takes 30 second for the pool increase to start, but I'm guessing that is the heartbeat timeout against the servers or something.

This was tested against mongodb@3.1.9, meaning mongodb-core@3.1.8, but I think it affect all 3.x versions (I've verified it in mongodb@3.1.4/mongo-core@3.1.3)

{quote}",Bug,Core,,
16,GODRIVER-743,https://jira.mongodb.org/browse/GODRIVER-743,driver_spec_nonconformance,crud,high,UpdateOne/UpdateMany silently erase fields with empty update; violates CRUD update validation spec.,driver_spec_nonconformance,,UpdateOne and UpdateMany should return error when update parameter is of zero length,"The UpdateOne and UpdateMany methods do not ensure that the update parameter has at least one modifier. Update the {{ensureDollarKey}} method to return an error if there are no modifiers provided.

(original description below)
----
mongo.UpdateOne() erases all fields from a document matched by a filter when update interface is bson.D{} with zero length. That behavior is unwanted in my opinion (i've lost some data). Mongo shell acts differently (just returns an error 'the update operation document must contain at least one atomic operator'). I didn't check Update() and UpdateMany() but these ones may act the same as UpdateOne().",Bug,CRUD,,
17,JAVA-4391,https://jira.mongodb.org/browse/JAVA-4391,driver_spec_nonconformance,auth,medium,GSSAPI authentication context name compatibility.,not_relevant,,"Accept ""com.sun.security.jgss.initiate"" as a default login context name for GSSAPI","In the 4.2 release, we introduced a new feature for caching Kerberos tickets: JAVA-3836. One of the consequences of that work is that the driver now by default always creates the Subject instance itself instead of relying on the JDK to do so. The LoginContext is now configured [here|https://github.com/mongodb/mongo-java-driver/blob/r4.3.4/driver-core/src/main/com/mongodb/KerberosSubjectProvider.java#L62]. Note that the default is to use ""com.sun.security.jgss.krb5.initiate"" as the default login context name. In contrast, the JDK looks for both ""com.sun.security.jgss.krb5.initiate"" _and_ ""com.sun.security.jgss.initiate"" (for reasons I'm not sure of). You can find that code [here|https://github.com/openjdk/jdk/blob/jdk-17+35/src/java.security.jgss/share/classes/sun/security/jgss/LoginConfigImpl.java#L103-L107].

We should change the driver to also accept both login names.
",Improvement,Security,,Documented:DOCSP-19773|Related:JAVA-3836|Related:JAVA-4389
18,RUBY-2492,https://jira.mongodb.org/browse/RUBY-2492,cross_driver_inconsistency,sdam,high,Links to DRIVERS-1251; SDAM 500ms heartbeat delay spec test.,test_infrastructure,,Test that clients wait 500ms between failed isMaster checks ,"    See DRIVERS-1251 for updated details.
    ",Improvement,Spec Comp|Tests,,Issue split:DRIVERS-1251
19,CSHARP-4031,https://jira.mongodb.org/browse/CSHARP-4031,cross_driver_inconsistency,,low,mentions other driver,test_infrastructure,,Update load balancer tests to support dedicated load balancer port,"This ticket was split from {{DRIVERS-1983}}, please see that ticket for a detailed description. ",Improvement,,size-xsmall,Issue split:DRIVERS-1983
20,CSHARP-1529,https://jira.mongodb.org/browse/CSHARP-1529,avoidable_by_spec_conformance,crud,low,"spec area bug, prevention unclear",not_relevant,,MongoCollectionSettings.AssignIdOnInsert has no effect,"According to the MongoDB documentation: ""if the mongod receives a document to insert that does not contain an _id field, mongod will add the _id field that holds an ObjectId."" Currently it is not possible to use this feautre of the mongod server, because the above mentioning option is not considered by the driver and ObjectId is always generated on collection insert. 

Note: Legacy versions of the driver still support this feature. ",Bug,Operations,,
21,PHPC-2188,https://jira.mongodb.org/browse/PHPC-2188,driver_spec_nonconformance,csfle|auth,medium,Permit tlsDisableOCSPEndpointCheck in KMS TLS options; DRIVERS-2507,not_relevant,,Permit tlsDisableOCSPEndpointCheck in KMS TLS options,"This ticket was split from {{DRIVERS-2507}}, please see that ticket for a detailed description. ",Improvement,,,Issue split:DRIVERS-2507|Related:CDRIVER-4528
